Handle,Title,Product Description,SKU,Collection,Shipping Measurements,Specifications,Information,Recommendation,Care,Technical information,Measures,Form,Unit per box,Color,Material,Business type,Country of origin,Chipping resistance,Shock resistance,Porosity,Reinforced edges,Dishwasher,Microwave,Conventional oven
230-092-plato-coupe-16-cm-negro-modulo-nature-pierre-de-lave,PLATO COUPE 16 CM NEGRO MODULO NATURE PIERRE DE LAVE,Degrenne. Plato Coupé 21 cm Negro Modulo Nature Pierre de Lave,230-092,VAJILLA,17x17x19,,"Modulo Nature es una línea de Degrenne marca Francesa que fabrica productos de la más alta calidad. La colección Modulo Nature es una colección con una textura y color que permite combinar con otros colores, personalizar su mesa y sublimar la presentación de los platos creando una atmósfera elegante.","Plato Coupé 21 cm
Colección perfecta para dar sólo algunos acentos a la mesa ó montar la línea completa. Sus colores suaves dan un toque orgánico a la mesa.",Fácil de limpiar y se puede usar lavavajillas.,TRUE,16 cm,Redondo,6,Negro,Cerámica,"Restaurante, Hotel",Francia,Si,Si,N/A,N/A,Si,Si,N/A
101-703724-plato-compotero-16.5-cm.-actualite,PLATO COMPOTERO 16.5 CM. ACTUALITE,Actualite de Corona. Plato de Porcelana Compotero 16.5 cm,101-703724,VAJILLA,34x14x17,,"Colección de vajilla en blanco europea, fabricada en Colombia. Combina la tradición y la modernidad que hacen resaltar lo mejor de las preparaciones gastronómicas. Esta colección tiene una amplia opción de piezas. Es altamente resistente por sus bordes reforzados, es muy util para uso profesional exigente y demandante.","Plato para sopas, cremas o ensaladas.
El diseño es moderno y limpio, con aspecto de elegante minimalista.
El color es blanco europeo, manteniendo una capa brillante con apariencia llamativa.
Fabricado en porcelana duradera. 
Cocción en alta temperatura para resistir la absorción de humedad.
Producto Apilable
Horno seguro hasta 350° Fahrenheit","Proceso de lavado a mano o en lavavajillas, con detergente líquido con el fin de evitar rayar el esmalte de la vajilla.
Apile por formas y tamaños, no apile piezas mojadas.
Apile hasta 15 piezas en platos menores de 20 cm.
Para quitar manchas, sumergir la pieza afectada en solución al 4% de cloro activo, máximo 20 minutos, luego enjuague y note la diferencia.",TRUE,16.5 cm,Redondo,24,Blanco Europeo,Porcelana,"Restaurante, Hotel, Cafetería",Colombia,Alta,Alta,Menor de 1%,Si,Si,Si,Si (Hasta 200°C/392°F)
101-719512t-tapa-para-cazuela-15-oz-actualite,TAPA PARA CAZUELA 15 OZ ACTUALITE,Actualite de Corona. Tapa para Cazuela de Porcelana 15 oz,101-719512T,ACTUALITE/VAJILLA,31x17x16,,"Colección de vajilla en blanco europea, fabricada en Colombia. Combina la tradición y la modernidad que hacen resaltar lo mejor de las preparaciones gastronómicas. Esta colección tiene una amplia opción de piezas. Es altamente resistente por sus bordes reforzados, es muy util para uso profesional exigente y demandante.","Tapa para Cazuela de Porcelana.
El diseño es moderno y limpio, con aspecto de elegante minimalista.
El color es blanco europeo, manteniendo una capa brillante con apariencia llamativa.
Fabricado en porcelana duradera. 
Cocción en alta temperatura para resistir la absorción de humedad.
Producto No Apilable
Horno seguro hasta 350° Fahrenheit","Proceso de lavado a mano o en lavavajillas, con detergente líquido con el fin de evitar rayar el esmalte de la vajilla.
Producto No Apilable.
Para quitar manchas, sumergir la pieza afectada en solución al 4% de cloro activo, máximo 20 minutos, luego enjuague y note la diferencia.",TRUE,15 oz,Redondo,12,Blanco Europeo,Porcelana,"Restaurante, Hotel, Cafetería",Colombia,Alta,Alta,Menor de 1%,Si,Si,Si,Si (Hasta 200°C/392°F)
101-719524st-cazuela-sin-tapa-15-oz-actualite,CAZUELA SIN TAPA 15 OZ ACTUALITE,Actualite de Corona. Cazuela de Porcelana sin Tapa 15 oz,101-719524ST,ACTUALITE/VAJILLA,40x31x21,,"Colección de vajilla en blanco europea, fabricada en Colombia. Combina la tradición y la modernidad que hacen resaltar lo mejor de las preparaciones gastronómicas. Esta colección tiene una amplia opción de piezas. Es altamente resistente por sus bordes reforzados, es muy util para uso profesional exigente y demandante.","Cazuela de Porcelana, para compartir en la mesa.
El diseño es moderno y limpio, con aspecto de elegante minimalista.
El color es blanco europeo, manteniendo una capa brillante con apariencia llamativa.
Fabricado en porcelana duradera. 
Cocción en alta temperatura para resistir la absorción de humedad.
Producto Apilable
Horno seguro hasta 350° Fahrenheit","Proceso de lavado a mano o en lavavajillas, con detergente líquido con el fin de evitar rayar el esmalte de la vajilla.
Apile por formas y tamaños, no apile piezas mojadas.
Apile hasta 15 piezas en platos menores de 20 cm.
Para quitar manchas, sumergir la pieza afectada en solución al 4% de cloro activo, máximo 20 minutos, luego enjuague y note la diferencia.",TRUE,15 oz,Redonda,24,Blanco Europeo,Porcelana,"Restaurante, Hotel, Cafetería",Colombia,Alta,Alta,Menor de 1%,Si,Si,Si,Si (Hasta 200°C/392°F)
101-807324-ramekin-liso-6-oz-actualite,RAMEKIN LISO 6 OZ ACTUALITE,Actualite de Corona. Ramekin LIso de Porcelana 6 oz,101-807324,ACTUALITE/VAJILLA,40x30x18,,"Colección de vajilla en blanco europea, fabricada en Colombia. Combina la tradición y la modernidad que hacen resaltar lo mejor de las preparaciones gastronómicas. Esta colección tiene una amplia opción de piezas. Es altamente resistente por sus bordes reforzados, es muy util para uso profesional exigente y demandante.","Ramekin Liso de Porcelana.
El diseño es moderno y limpio, con aspecto de elegante minimalista.
El color es blanco europeo, manteniendo una capa brillante con apariencia llamativa.
Fabricado en porcelana duradera. 
Cocción en alta temperatura para resistir la absorción de humedad.
Producto Apilable
Horno seguro hasta 350° Fahrenheit","Proceso de lavado a mano o en lavavajillas, con detergente líquido con el fin de evitar rayar el esmalte de la vajilla.
Apile por formas y tamaños, no apile piezas mojadas.
Apile hasta 15 piezas en piezas menores de 20 cm.
Para quitar manchas, sumergir la pieza afectada en solución al 4% de cloro activo, máximo 20 minutos, luego enjuague y note la diferencia.",TRUE,6 oz,Redonda,24,Blanco Europeo,Porcelana,"Restaurante, Hotel, Cafetería",Colombia,Alta,Alta,Menor de 1%,Si,N/A,N/A,N/A
101-903224-bowl-multiusos-17-cm-16-2/3-oz-actualite,BOWL MULTIUSOS 17 CM 16 2/3 OZ ACTUALITE,Actualite de Corona. Bowl de Porcelana Multiusos 17 cm 16 2/3 oz,101-903224,ACTUALITE/VAJILLA,34x18x18,,"Colección de vajilla en blanco europea, fabricada en Colombia. Combina la tradición y la modernidad que hacen resaltar lo mejor de las preparaciones gastronómicas. Esta colección tiene una amplia opción de piezas. Es altamente resistente por sus bordes reforzados, es muy util para uso profesional exigente y demandante.","Bowl Multiusos, para Cereal, Ensaladas Individuales.
El diseño es moderno y limpio, con aspecto de elegante minimalista.
El color es blanco europeo, manteniendo una capa brillante con apariencia llamativa.
Fabricado en porcelana duradera. 
Cocción en alta temperatura para resistir la absorción de humedad.
Producto Apilable
Horno seguro hasta 350° Fahrenheit","Proceso de lavado a mano o en lavavajillas, con detergente líquido con el fin de evitar rayar el esmalte de la vajilla.
Apile por formas y tamaños, no apile piezas mojadas.
Apile hasta 15 piezas en bowls menores de 22 cm.
Para quitar manchas, sumergir la pieza afectada en solución al 4% de cloro activo, máximo 20 minutos, luego enjuague y note la diferencia.",TRUE,17 cm 16 2/3 oz,Redondo,24,Blanco Europeo,Porcelana,"Restaurante, Hotel, Cafetería",Colombia,Alta,Alta,Menor de 1%,Si,Si,Si,Si (Hasta 200°C/392°F)
101-904524-bowl-bouillon-7-2/3-oz-actualite,BOWL BOUILLON 7 2/3 OZ ACTUALITE,Actualite de Corona. Bowl de Porcelana Multiusos 7 2/3 oz,101-904524,VAJILLA,40x30x17,,"Colección de vajilla en blanco europea, fabricada en Colombia. Combina la tradición y la modernidad que hacen resaltar lo mejor de las preparaciones gastronómicas. Esta colección tiene una amplia opción de piezas. Es altamente resistente por sus bordes reforzados, es muy util para uso profesional exigente y demandante.","Bowl Multiusos, para Cereal, Ensaladas Individuales.
El diseño es moderno y limpio, con aspecto de elegante minimalista.
El color es blanco europeo, manteniendo una capa brillante con apariencia llamativa.
Fabricado en porcelana duradera. 
Cocción en alta temperatura para resistir la absorción de humedad.
Producto Apilable
Horno seguro hasta 350° Fahrenheit","Proceso de lavado a mano o en lavavajillas, con detergente líquido con el fin de evitar rayar el esmalte de la vajilla.
Apile por formas y tamaños, no apile piezas mojadas.
Apile hasta 15 piezas en bowls menores de 22 cm.
Para quitar manchas, sumergir la pieza afectada en solución al 4% de cloro activo, máximo 20 minutos, luego enjuague y note la diferencia.",TRUE,7 2/3 oz,Redondo,24,Blanco Europeo,Porcelana,"Restaurante, Hotel, Cafetería",Colombia,Alta,Alta,Menor de 1%,Si,Si,Si,Si (Hasta 200°C/392°F)
101-906024-taza-jumbo-12-oz-actualite,TAZA JUMBO 12 OZ ACTUALITE,Actualite de Corona. Taza Jumbo de Porcelana No Apilable 12 oz,101-906024,ACTUALITE/VAJILLA,52x23x30,,"Colección de vajilla en blanco europea, fabricada en Colombia. Combina la tradición y la modernidad que hacen resaltar lo mejor de las preparaciones gastronómicas. Esta colección tiene una amplia opción de piezas. Es altamente resistente por sus bordes reforzados, es muy util para uso profesional exigente y demandante.","Taza jumbo para gran capacidad.
El diseño es moderno y limpio, con aspecto de elegante minimalista.
El color es blanco europeo, manteniendo una capa brillante con apariencia llamativa.
Fabricado en porcelana duradera. 
Cocción en alta temperatura para resistir la absorción de humedad.
Producto No Apilable
Horno seguro hasta 350° Fahrenheit","Proceso de lavado a mano o en lavavajillas, con detergente líquido con el fin de evitar rayar el esmalte de la vajilla.
Producto no apilable.
Manchas de café, sumergir la pieza afectada en solución al 4% de cloro activo, máximo 20 minutos, luego enjuague y note la diferencia.",TRUE,12 oz,Redondo,24,Blanco Europeo,Porcelana,"Restaurante, Hotel, Cafetería",Colombia,Alta,Alta,Menor de 1%,Si,Si,Si,Si (Hasta 200°C/392°F)
101-907906-bandeja-40.5-x-17-cm-actualite-blanco,BANDEJA 40.5 X 17 CM ACTUALITE BLANCO,Actualite de Corona. Bandeja de Porcelana 40.5 x 17 cm,101-907906,VAJILLA,42x12x19,,"Colección de vajilla en blanco europea, fabricada en Colombia. Combina la tradición y la modernidad que hacen resaltar lo mejor de las preparaciones gastronómicas. Esta colección tiene una amplia opción de piezas. Es altamente resistente por sus bordes reforzados, es muy util para uso profesional exigente y demandante.","Bandeja lisa para presentaciones en la mesa.
El diseño es moderno y limpio, con aspecto de elegante minimalista.
El color es blanco europeo, manteniendo una capa brillante con apariencia llamativa.
Fabricado en porcelana duradera. 
Cocción en alta temperatura para resistir la absorción de humedad.
Producto Apilable
Horno seguro hasta 350° Fahrenheit","Proceso de lavado a mano o en lavavajillas, con detergente líquido con el fin de evitar rayar el esmalte de la vajilla.
Apile por formas y tamaños, no apile piezas mojadas.
Apile hasta 30 piezas en platos mayores de 22 cm.
Para quitar manchas, sumergir la pieza afectada en solución al 4% de cloro activo, máximo 20 minutos, luego enjuague y note la diferencia.",TRUE,40.5 x 17 cm,Rectangular,6,Blanco Europeo,Porcelana,"Restaurante, Hotel, Cafetería",Colombia,Alta,Alta,Menor de 1%,Si,Si,Si,Si (Hasta 200°C/392°F)
4-42126-copa-cerveza-17-1/4-oz-weizen,COPA CERVEZA 17 1/4 OZ WEIZEN,Weizen de Pasabahce. Copa Cerveza de Vidrio Resistente 17 1/4 oz,4-42126,WEIZEN/CRISTALERIA,26x18x23,,"Weizen es una línea de Pasabahce una marca turca que fabrica productos resistententes para el uso profesional. Estas copas con clase, con sus paredes delgadas y longitud, exhiben el color de la cerveza y permite mucho espacio de cabeza para contener la asociación esponjosa de la misma, cabezas con estilo. Una recomendación. Olvidese de la guarnición de limón, el cítrico mata la cabeza de espusa que se forma en esta hermosa copa.","Copa de Cerveza de Vidrio.
El diseño clásico y básico para Cerveza.
Esta forma de Copa es ideal para Cerveza de Tipo; Larger, Pilsner, Bock.
Las copas son específicamente producidas para mantener el volúmen y dejar crecer la espuma en su entorno, mientras que el aroma y el cuerpo son asociados con estilo.","Proceso de lavado a mano o en lavavajillas, con detergente líquido con el fin de evitar rayar el producto.",TRUE,17 1/4 oz,Redondo,6,Transparente,Vidrio,"Restaurante, Hotel, Bar",Turquía,N/A,Si,N/A,N/A,Si,N/A,N/A
4-42756-copa-cerveza-22-1/4-oz-weizen,COPA CERVEZA 22 1/4 OZ WEIZEN,Weizen de Pasabahce. Copa Cerveza de Vidrio Resistente 22 1/4 oz,4-42756,CRISTALERIA,28x19x25,,"Weizen es una línea de Pasabahce una marca turca que fabrica productos resistententes para el uso profesional. Estas copas con clase, con sus paredes delgadas y longitud, exhiben el color de la cerveza y permite mucho espacio de cabeza para contener la asociación esponjosa de la misma, cabezas con estilo. Una recomendación. Olvidese de la guarnición de limón, el cítrico mata la cabeza de espusa que se forma en esta hermosa copa.","Copa de Cerveza de Vidrio.
El diseño clásico y básico para Cerveza.
Esta forma de Copa es ideal para Cerveza de Tipo; Larger, Pilsner, Bock.
Las copas son específicamente producidas para mantener el volúmen y dejar crecer la espuma en su entorno, mientras que el aroma y el cuerpo son asociados con estilo.","Proceso de lavado a mano o en lavavajillas, con detergente líquido con el fin de evitar rayar el producto.",TRUE,22 1/4 oz,Redondo,6,Transparente,Vidrio,"Restaurante, Hotel, Bar",Turquía,N/A,Si,N/A,N/A,Si,N/A,N/A
4-43434-jarra-1.35-lt-bolero,JARRA 1.35 LT BOLERO,Jugs & Pitchers de Pasabahce. Jarra de Vidrio Resistente 1.35 lt,4-43434,CRISTALERIA,46x31x26,,"Jugs & Pitchers es una línea de Pasabahce una marca turca que fabrica productos resistententes para el uso profesional. Las Jarras de Pasabahce son de vidrio resistente, su transparencia permite ver la bebida que lo contiene. Su diseño es clásico y básico para cualquier tipo de bebida de gran capacidad.","Jarra de Vidrio.
Diseño clásico y básico de Vidrio Resistente.
Esta forma de Jarra es ideal para cualquier tipo de bebida.
","Proceso de lavado a mano o en lavavajillas, con detergente líquido con el fin de evitar rayar el producto.",TRUE,1.35 lt,Redondo,6,Transparente,Vidrio,"Restaurante, Hotel, Bar",Turquía,N/A,Si,N/A,N/A,Si,N/A,N/A
4-51648-copa-agua-11-1/4-oz-timeless,COPA AGUA 11 1/4 OZ TIMELESS,Timeless de Pasabahce. Copa Agua de Vidrio Cortado Templado 11 1/4 oz,4-51648,TIMELESS/CRISTALERIA,38x28x17,,"Timeless es una línea de Pasabahce una marca turca que fabrica productos resistententes para el uso profesional. Una línea con un diseño espectacular, vidrio templado con gran durabilidad, para uso profesional. Su diseño en forma de rombos permiten tener un diseño muy auténtico y original. Un diseño para todos los tiempos.","Copa de Agua de Vidrio Templado.
Diseño en forma de rombos de Vidrio Cortado.
Esta forma de Copa es ideal para cualquier tipo de bebida.","Proceso de lavado a mano o en lavavajillas, con detergente líquido con el fin de evitar rayar el producto.",TRUE,11 1/4 oz,Redondo,12,Transparente,Vidrio Templado,"Restaurante, Hotel, Bar",Turquía,N/A,Si,N/A,N/A,Si,N/A,N/A
91846-platon-oval-31-cm-fusion,PLATON OVAL 31 CM FUSION,Fusion de Noritake. Plato de Porcelana Oval 31 cm,91846,VAJILLA,60x40x40,,"Línea Japonesa en color blanco. Una colección muy sofisticada que cuenta con una personalidad de toque asiático. Concepto liso, fino y refinado.","Plato Oval con ala, para platillos fuertes que requieren espacio.
Diseño asiático, liso, fino y refinado.
El color es blanco, contiene una capa brillante con apariencia llamativa.
Fabricado en porcelana duradera japonesa.
Cocción en alta temperatura para resistir la absorción de humedad y los choques térmicos.
Producto Apilable
Horno seguro hasta 350° Fahrenheit","Proceso de lavado a mano o en lavavajillas, con detergente líquido con el fin de evitar rayar el esmalte de la vajilla.
Apile por formas y tamaños, no apile piezas mojadas.
Apile hasta 30 piezas en platos mayores de 22 cm.
Manchas de café, sumergir la pieza afectada en solución al 4% de cloro activo, máximo 20 minutos, luego enjuague y note la diferencia.",TRUE,31 cm,Oval,6,Blanco,Porcelana,"Restaurante, Hotel, Cafetería",Japón,Alta,Alta,Menor de 1%,Si,Si,Si,Si (Hasta 200°C/392°F)
99-710870-vaso-old-fashion-mediano-12-1/2-oz-templado-bodega,VASO OLD FASHION MEDIANO 12 1/2 OZ TEMPLADO BODEGA,Bodega de Bormioli Rocco. Vaso Old Fashion Mediano de Vidrio Templado 12 1/2 oz,99-710870,BODEGA/CRISTALERIA,35x27x10,,"Bodega es una línea de la marca Bormioli Rocco una marca italiana que fabrica productos altamente resistentes y durables. Vasos Mini, Mediano y Maxi de Vidrio templado con transparencia y resistencia para uso profesional. Sus bordes son reforzados para soportar los golpes accidentales.","Vaso Old Fashion de Vidrio Resistente
El diseño de Vidrio liso y clásico.
Borde Reforzado, soporta golpes accidentales.
Apto para lavavajillas, soporta los choques térmicos y es extra resistente.","Proceso de lavado a mano o en lavavajillas, con detergente líquido con el fin de evitar rayar el producto.",TRUE,12 1/2 oz,Redondo,12,Transparente,Vidrio Templado,"Restaurante, Hotel, Cafetería, Bar",Italia,N/A,Si,N/A,N/A,Si,N/A,N/A
99-710880-vaso-old-fashion-maxi-17-oz-templado-bodega,VASO OLD FASHION MAXI 17 OZ TEMPLADO BODEGA,Bodega de Bormioli Rocco. Vaso Old Fashion Maxi de Vidrio Templado 17 oz,99-710880,BODEGA/CRISTALERIA,37x28x13,,"Bodega es una línea de la marca Bormioli Rocco una marca italiana que fabrica productos altamente resistentes y durables. Vasos Mini, Mediano y Maxi de Vidrio templado con transparencia y resistencia para uso profesional. Sus bordes son reforzados para soportar los golpes accidentales.","Vaso Old Fashion de Vidrio Resistente
El diseño de Vidrio liso y clásico.
Borde Reforzado, soporta golpes accidentales.
Apto para lavavajillas, soporta los choques térmicos y es extra resistente.","Proceso de lavado a mano o en lavavajillas, con detergente líquido con el fin de evitar rayar el producto.",TRUE,17 oz,Redondo,12,Transparente,Vidrio Templado,"Restaurante, Hotel, Cafetería, Bar",Italia,N/A,Si,N/A,N/A,Si,N/A,N/A
ac-ampe-bchrg-wes-charola-rectangular-61-x-41-x-6-cm-cuero-sintetico-color-moka-costura-color-hueso-modelo-westin.,CHAROLA RECTANGULAR 61 X 41 X 6 CM CUERO SINTETICO COLOR MOKA COSTURA COLOR HUESO MODELO WESTIN.,Westin de Amano Cuero. Charola Rectangular de Cuero Sintético Color Moka y Costura Color Hueso 61x41x6 cm,AC-AMPE-BCHRG-WES,AMANO CUERO/TENDENCIAS,64x45x8,,"Westin es una línea de Amano Cuero, una empresa 100% mexicana que fabrica productos de calidad, con colecciones originales. Utiliza el cuero y la piel como una característica principal de sus productos.","Charola de Cuero Sintético.
Diseño liso en color moka y costuras en color hueso.
",Limpiar con trapo humédo.,TRUE,61x41x6 cm,Rectangular,2,Moka / Hueso,Cuero Sintético,"Restaurante, Hotel, Cafetería",México,N/A,N/A,N/A,N/A,N/A,N/A,N/A
arc-46888-copa-vino-19-1/4-oz-cabernet-**n4580**,COPA VINO 19 1/4 OZ CABERNET **N4580**,Cabernet de Arcoroc. Copa Vino de Vidrio Tempado 19 1/4 oz,arc-46888,CRISTALERIA,39x30x25,,"Cabernet es una línea de la marca francesas Arcoroc, es una línea resistente y fina al mismo tiempo. Con un fuste fuerte. Esta línea esta integrada por productos templados, que son muy apreciados por los profesionales. Son 5 veces más resistentes. Con diseño, elegancia y solidez: el temple confiere al artículo una resistencia añadida sin darle más espesor al cristal. El producto conserva de esta manera toda su finura y diseño.","Copa Vino de Vidrio Templado.
Diseño elegante para cualquier mesa y super resistente.
Resistencia añadida sin darle más espesor al cristal.
Copas 5 veces más resistentes","Proceso de lavado a mano o en lavavajillas, con detergente líquido con el fin de evitar rayar el producto.",TRUE,19 1/4 oz,Redondo,12,Transparente,Vidrio Templado,"Restaurante, Hotel, Bar",Francia,N/A,Si,N/A,Si,Si,N/A,N/A
arc-48024-copa-flauta-5-oz-cabernet,COPA FLAUTA 5 OZ CABERNET,Cabernet de Arcoroc. Copa Flauta de Vidrio Tempado 5 oz,arc-48024,CABERNET/CRISTALERIA,46x31x24,,"Cabernet es una línea de la marca francesas Arcoroc, es una línea resistente y fina al mismo tiempo. Con un fuste fuerte. Esta línea esta integrada por productos templados, que son muy apreciados por los profesionales. Son 5 veces más resistentes. Con diseño, elegancia y solidez: el temple confiere al artículo una resistencia añadida sin darle más espesor al cristal. El producto conserva de esta manera toda su finura y diseño.","Copa Flauta de Vidrio Templado.
Diseño elegante para cualquier mesa y super resistente.
Resistencia añadida sin darle más espesor al cristal.
Copas 5 veces más resistentes","Proceso de lavado a mano o en lavavajillas, con detergente líquido con el fin de evitar rayar el producto.",TRUE,5 oz,Redondo,6,Transparente,Vidrio Templado,"Restaurante, Hotel, Bar",Francia,N/A,Si,N/A,Si,Si,N/A,N/A
b-9030591793-cuchara-servicio-29-cm-acero-inoxidable,CUCHARA SERVICIO 29 CM ACERO INOXIDABLE,Broggi 18/10  Cuchara de Servicio Acero Inoxidable,B-9030591793,BROGGI/EQUIPO DE COCINA,29x7x,,"Línea: Broggie
Tipo de Acero: 18/10
Elegante y distinguido, esta línea clásica sirve como un complemento maravilloso para ambientes de comidas informales y relajados. Su diseño simple hará que su comida sea el centro de atención, mientras que su longitud de le brinda a sus invitados el alcance que necesitan para servir. Perfecta para los huéspedes, esta cuchara complementará cualquier alojamiento estilo buffet con facilidad. No hay necesidad de sacrificar el estilo para la funcionalidad, agregue un toque clásico a cualquier área de comedor con esta cuchara para servir.","Estilo elegante y exclusivo que se combinará perfectamente con la configuaración de su mesa.
Diseño limpio y sencillo.
Acero inoxidable refinado, 18/10 para una mayor durabilidad, con esmalte brillante.
Tan cómodo de sostener como agradable a la vista.
Fácil de limpiar y mantener.
",Lavado en lavavajillas o a mano con jabón liquido. Si es a mano secar al instante con un lienso o trapo seco.,TRUE,N/A,Cuchara de Servicio,1,Acero,Acero Inoxidable,"Hotel, Restaurante",Italia,N/A,N/A,N/A,N/A,Si,N/A,N/A
cc-topvp8-plato-trinche-20.3-cm-toile-prague-vintage-prints,PLATO TRINCHE 20.3 CM TOILE PRAGUE VINTAGE PRINTS,Vintage Prints de Churchill. Plato Trinche de Porcelana Toile Prague 20.3 cm,CC-TOPVP8,VAJILLA,22x22x9,,"Vintage Prints es una línea inglesa de la marca Churchill. Esta colección combina y mezcla una experiencia visual única. La tendencia de moda de época está en el centro de atención del diseño, creando una eperiencia visual con estilo. Tiene la ventaja de ser apilable. Diseño auténtico inglés.","Plato Trinche de Porcelana, para grandes creaciones culinarias.
El diseño es inglés.
Plato decorado con diversas formas.
Fabricado en porcelana inglesa. 
Cocción en alta temperatura para resistir la absorción de humedad.
Producto Apilable
Soporta los cambios bruscos de temperatura.","Proceso de lavado a mano o en lavavajillas, con detergente líquido con el fin de evitar rayar el esmalte de la vajilla.
Producto apilable.
Apile por formas y tamaños, no apile piezas mojadas.",TRUE,20.3 cm,Redondo,6,Azul / Blanco,Porcelana,"Restaurante, Hotel, Cafetería, Banquetes",Inglaterra,Alta,Alta,Menor de 1%,Si,Si,Si,Si (Hasta 200°C/392°F)
ch-100381-002-manteleta-rectangular-tempo-36x48-cm-ivory,MANTELETA RECTANGULAR TEMPO 36X48 CM IVORY,Tempo de Chilewich. Manteleta Rectangular Individual de Fibra de Poliéster recubierto de Vinil Tejido Color Ivory 36x48 cm,CH-100381-002,TENDENCIAS,49x36x,,"La Colección Chilewich de manteles individuales hechos de textiles originales. Disponibles en una amplia gama de tejidos y colores, estos manteles mejorarán y elevarán su interior y experiencia culinaria
",Adecuado para uso en interiores y al aire libre. Amigable para niños. Hecho en EE. UU. Con TerraStrand® y Microban®.,"Fácil de limpiar: simplemente limpie con jabón, agua y una esponja o paño suave. Frote las manchas rebeldes con un cepillo de cerdas suaves y un limpiador a base de lejía.",TRUE,36x48 cm,Rectangular,4,Ivory,Fibra de Poliéster recubierto de Vinil Tejido,"Restaurante, Hotel, Cafetería",EE.UU.,N/A,N/A,N/A,Si,N/A,N/A,N/A
cl-410907-pinza-multiusos-de-policarbonato-24-cm-transparente,PINZA MULTIUSOS DE POLICARBONATO 24 CM TRANSPARENTE,Carlisle. Pinza Multiusos Transparente de Policarbonato 24 cm,CL-410907,EQUIPO DE COCINA,37x16x11,,Pinza Multiusos Transparente de Policarbonato de Carlisle..El policarbonato resistente a las roturas y a las manchas. El policarbonato a veces se debilita por ciclos repetidos en un lavavajillas y las grietas por tensión son uno de los indicadores de esto.,"El policarbonato puede considerarse apto para lavavajillas, pero el daño resultante del lavado puede variar según la temperatura y la ubicación en el lavavajillas.","Fácil de limpiar y se puede usar lavavajillas, aunque es preferible el lavado a mano con esponja.",TRUE,24 cm,Irregular,1,Transparente,Policarbonato,"Restaurante, Hotel, Cafetería",EE.UU.,Si,Si,N/A,Si,Si,N/A,N/A
cl-608600-vaso-mezclador-con-tapa-30-oz-acero-inoxidable,VASO MEZCLADOR CON TAPA 30 OZ ACERO INOXIDABLE,Carlisle. Vaso Mezclador con Tapa de Acero Inoxidable 30 oz,CL-608600,CARLISLE/EQUIPO DE COCINA,26x11x,,"Vaso Mezclador con Tapa de Acero Inoxidable de Carlisle. La coctelera clásica de 3 piezas de Bar Essential, pulida a espejo, totalmente en acero inoxidable, tiene un pico de vertido ventilado que reduce las salpicaduras y derrames; las piezas encajan perfectamente para que no se ensucien","Vaso Mezclador con Tapa de Acero Inoxidable.
 Uso Profesional.
 Diseños prácticos y universales que se adaptan a cualquier negocio.",Fácil de limpiar y se puede usar lavavajillas. Recomendamos secarlo al instante para evitar manchas.,TRUE,30 oz,Redondo,1,Acero,Acero Inoxidable,"Restaurante, Hotel, Cafetería",EE.UU.,Si,Si,N/A,Si,Si,N/A,N/A
cl-609191-hielera-de-acero-inoxidable-con-pinza-1.6-lt,HIELERA DE ACERO INOXIDABLE CON PINZA 1.6 LT,Carlisle. Hielera con Pinza de Acero Inoxidable 1.6 lt,CL-609191,CARLISLE/EQUIPO DE COCINA,17x14x15,,"Hielera con Pinza de Acero Inoxidable de Carlisle. Tiene acabado pulido espejo exterior, satinado interior, con manijas de perilla. El acero inoxidable 18-8 nunca requiere pulido. Incluye pinza.
 Lavar únicamente a mano","Hielera con Pinza de Acero Inoxidable
 Uso Profesional.
 Diseños prácticos y universales que se adaptan a cualquier negocio.",Lavarlo a mano con esponja y secar al instante.,TRUE,1.6 lt,Redondo,1,Acero,Acero Inoxidable,"Restaurante, Hotel, Cafetería",EE.UU.,Si,Si,N/A,Si,N/A,N/A,N/A
cl-s28002-ramekin-liso-de-melamina-3-oz-blanco,RAMEKIN LISO DE MELAMINA 3 OZ BLANCO,Carlisle. Ramekin Liso Blanco de Melamina 3 oz,CL-S28002,CARLISLE/EQUIPO DE COCINA,34x18x15,,"Ramekin Liso Blanco de Melamina 2 oz de Carlisle. Siempre útil en una cafetería, bar, restaurante y hogar. Ideal para salsa, aderezo, salsa de tomate, salsas, condimentos, especias y más.
 El diseño liso tiene el tacto y la sensación de cerámica o vidrio. Durable y económico; reutilizar en lugar de reemplazar.","Ramekin Liso de Melamina Blanco
 Resistente a las manchas y al color
 Apilable para un fácil almacenamiento y ahorro de espacio
 Seguro para temperaturas de hasta 212 ° F
 Uso Profesional.
 Diseños prácticos y universales que se adaptan a cualquier negocio.",Fácil de limpiar y se puede usar lavavajillas.,TRUE,3 oz,Redondo,1,Blanco,Melamina,"Restaurante, Hotel, Cafetería",EE.UU.,Si,Si,N/A,Si,Si,N/A,N/A
